"YANTIAN, CHINA",,"ST LOUIS, MO","SAN PEDRO, CA",15 ,Y/R,APLU,7/15/2018,7/31/2018,3467,4122,4122,5216,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"ATLANTA, GA","SAVANNAH, GA",32 ,Y/R,APLU,7/15/2018,7/31/2018,2627,3132,3132,3960,,FAK (Straight load only),
"YANTIAN, CHINA",,"ATLANTA, GA","SAVANNAH, GA",31 ,Y/R,APLU,7/15/2018,7/31/2018,2627,3132,3132,3960,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"ATLANTA, GA","SAVANNAH, GA",37 ,Y/R,APLU,7/15/2018,7/31/2018,2627,3132,3132,3960,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CHARLOTTE, NC","SAVANNAH, GA",32 ,Y/R,APLU,7/15/2018,7/31/2018,2627,3132,3132,3960,,FAK (Straight load only),
"YANTIAN, CHINA",,"CHARLOTTE, NC","SAVANNAH, GA",31 ,Y/R,APLU,7/15/2018,7/31/2018,2627,3132,3132,3960,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CHARLOTTE, NC","SAVANNAH, GA",37 ,Y/R,APLU,7/15/2018,7/31/2018,2627,3132,3132,3960,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CHICAGO, IL","NEW YORK, NY",29 ,Y/R,APLU,7/15/2018,7/31/2018,2797,3332,3332,4213,,FAK (Straight load only),
"YANTIAN, CHINA",,"CHICAGO, IL","NEW YORK, NY",28 ,Y/R,APLU,7/15/2018,7/31/2018,2797,3332,3332,4213,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CHICAGO, IL","NEW YORK, NY",32 ,Y/R,APLU,7/15/2018,7/31/2018,2797,3332,3332,4213,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"COLUMBUS, OH","NORFOLK, VA",30 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"YANTIAN, CHINA",,"COLUMBUS, OH","NORFOLK, VA",29 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"COLUMBUS, OH","NORFOLK, VA",35 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"YANTIAN, CHINA",,"COLUMBUS, OH","NORFOLK, VA",34 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"COLUMBUS, OH","NORFOLK, VA",35 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CINCINNATI, OH","NORFOLK, VA",30 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"YANTIAN, CHINA",,"CINCINNATI, OH","NORFOLK, VA",29 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CINCINNATI, OH","NORFOLK, VA",35 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"YANTIAN, CHINA",,"CINCINNATI, OH","NORFOLK, VA",34 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CINCINNATI, OH","NORFOLK, VA",35 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CLEVELAND, OH","NORFOLK, VA",30 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"YANTIAN, CHINA",,"CLEVELAND, OH","NORFOLK, VA",29 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CLEVELAND, OH","NORFOLK, VA",35 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"YANTIAN, CHINA",,"CLEVELAND, OH","NORFOLK, VA",34 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"CLEVELAND, OH","NORFOLK, VA",35 ,Y/R,APLU,7/15/2018,7/31/2018,2882,3432,3432,4340,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"LOUISVILLE, KY","SAVANNAH, GA",32 ,Y/R,APLU,7/15/2018,7/31/2018,2967,3532,3532,4466,,FAK (Straight load only),
"YANTIAN, CHINA",,"LOUISVILLE, KY","SAVANNAH, GA",31 ,Y/R,APLU,7/15/2018,7/31/2018,2967,3532,3532,4466,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"LOUISVILLE, KY","SAVANNAH, GA",37 ,Y/R,APLU,7/15/2018,7/31/2018,2967,3532,3532,4466,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"MEMPHIS, TN","SAVANNAH, GA",32 ,Y/R,APLU,7/15/2018,7/31/2018,2967,3532,3532,4466,,FAK (Straight load only),
"YANTIAN, CHINA",,"MEMPHIS, TN","SAVANNAH, GA",31 ,Y/R,APLU,7/15/2018,7/31/2018,2967,3532,3532,4466,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"MEMPHIS, TN","SAVANNAH, GA",37 ,Y/R,APLU,7/15/2018,7/31/2018,2967,3532,3532,4466,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NASHVILLE, TN","SAVANNAH, GA",32 ,Y/R,APLU,7/15/2018,7/31/2018,3095,3682,3682,4656,,FAK (Straight load only),
"YANTIAN, CHINA",,"NASHVILLE, TN","SAVANNAH, GA",31 ,Y/R,APLU,7/15/2018,7/31/2018,3095,3682,3682,4656,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NASHVILLE, TN","SAVANNAH, GA",37 ,Y/R,APLU,7/15/2018,7/31/2018,3095,3682,3682,4656,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NEW ORLEANS, LA","SAVANNAH, GA",32 ,Y/R,APLU,7/15/2018,7/31/2018,2627,3132,3132,3960,,FAK (Straight load only),
"YANTIAN, CHINA",,"NEW ORLEANS, LA","SAVANNAH, GA",31 ,Y/R,APLU,7/15/2018,7/31/2018,2627,3132,3132,3960,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"NEW ORLEANS, LA","SAVANNAH, GA",37 ,Y/R,APLU,7/15/2018,7/31/2018,2627,3132,3132,3960,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"ST LOUIS, MO","NEW YORK, NY",29 ,Y/R,APLU,7/15/2018,7/31/2018,3137,3732,3732,4720,,FAK (Straight load only),
"YANTIAN, CHINA",,"ST LOUIS, MO","NEW YORK, NY",28 ,Y/R,APLU,7/15/2018,7/31/2018,3137,3732,3732,4720,,FAK (Straight load only),
"HONG KONG, HONG KONG",,"ST LOUIS, MO","NEW YORK, NY",32 ,Y/R,APLU,7/15/2018,7/31/2018,3137,3732,3732,4720,,FAK (Straight load only),
"NANSHA, CHINA",,"LOS ANGELES, CA",,17 ,Y/Y,APLU,7/20/2018,7/31/2018,1107,1422,1422,1752,,GDSM BULLET,
"HONG KONG, HONG KONG",,"LOS ANGELES, CA",,16 ,Y/Y,APLU,7/20/2018,7/31/2018,1107,1422,1422,1752,,GDSM BULLET,
"YANTIAN, CHINA",,"LOS ANGELES, CA",,15 ,Y/Y,APLU,7/20/2018,7/31/2018,1107,1422,1422,1752,,GDSM BULLET,
"NANSHA, CHINA",,"OAKLAND, CA",,22 ,Y/Y,APLU,7/20/2018,7/31/2018,1107,1422,1422,1752,,GDSM BULLET,
"HONG KONG, HONG KONG",,"OAKLAND, CA",,21 ,Y/Y,APLU,7/20/2018,7/31/2018,1107,1422,1422,1752,,GDSM BULLET,
